,genre,occurances
2571,italian blues,1
2572,indonesian indie,1
2573,indonesian hip hop,1
2574,japanese concert band,1
2575,nuevo tango,1
2576,orlando indie,1
2577,oshare kei,1
2578,hong kong rock,1
2579,oth indie,1
2580,ottawa indie,1
2581,hong kong indie,1
2582,hong kong hip hop,1
2583,outer hip hop,1
2584,histoire pour enfants,1
2585,hiplife,1
2586,pagode baiano,1
2587,hindi hip hop,1
2588,pakistani hip hop,1
2589,hawaiian indie,1
2590,palestinian pop,1
2591,panamanian rock,1
2592,haryanvi pop,1
2593,harmonica jazz,1
2594,hard rock brasileiro,1
2595,pei indie,1
2596,hangpan,1
2597,halifax indie,1
2598,perth indie,1
2599,peruvian hip hop,1
2600,gypsy,1
2601,orkney and shetland folk,1
2602,oriental classical,1
2603,huayno,1
2604,icelandic jazz,1
2605,indie triste,1
2606,indie shoegaze,1
2607,indie rock mexicano,1
2608,nz christian,1
2609,nz hardcore,1
2610,indie deutschrap,1
2611,nz punk,1
2612,indian instrumental,1
2613,ohio indie,1
2614,ok indie,1
2615,ilahiler,1
2616,icelandic electronic,1
2617,organic electronic,1
2618,hungarian techno,1
2619,hungarian rock,1
2620,hungarian pop,1
2621,hungarian folk,1
2622,hungarian edm,1
2623,hungarian contemporary classical,1
2624,oratory,1
2625,humppa,1
2626,hula,1
2627,orebro indie,1
2628,organic ambient,1
2629,japanese classical piano,1
2630,japanese electronic,1
2631,gujarati pop,1
2632,musica afroperuana,1
2633,mizrahi,1
2634,lo-fi cover,1
2635,lo-fi brasileiro,1
2636,lldm,1
2637,liedermacher,1
2638,leicester indie,1
2639,latincore,1
2640,modern performance,1
2641,modern psychedelic folk,1
2642,lancashire indie,1
2643,koto,1
2644,modern string quartet,1
2645,modern swing,1
2646,modern uplift,1
2647,modular synth,1
2648,korean trap,1
2649,korean mask singer,1
2650,mongolian hip hop,1
2651,mongolian pop,1
2652,monterrey indie,1
2653,korean indie rock,1
2654,morna,1
2655,motivation,1
2656,komedi,1
2657,kolsche karneval,1
2658,lo-fi house,1
2659,lo-fi vgm,1
2660,louvor,1
2661,miami indie,1
2662,melodic power metal,1
2663,metal mineiro,1
2664,melbourne indie,1
2665,medieval,1
2666,mexican classical,1
2667,martial industrial,1
2668,marimba orquesta,1
2669,marching band,1
2670,mexican son,1
2671,mexican traditional,1
2672,marathi pop,1
2673,miami metal,1
2674,lund indie,1
2675,manchester indie,1
2676,microtonal,1
2677,middle east hip hop,1
2678,middle eastern traditional,1
2679,malmo indie,1
2680,malaysian pop,1
2681,minimal melodic techno,1
2682,maine hip hop,1
2683,magyar alternative,1
2684,macedonian folk,1
2685,lute,1
2686,kodomo no ongaku,1
2687,musica alagoana,1
2688,japanese experimental,1
2689,kleine hoerspiel,1
2690,joropo,1
2691,jordanian pop,1
2692,jewish hip hop,1
2693,jewish cantorial,1
2694,native american hip hop,1
2695,nederlandse hardstyle,1
2696,neo kyma,1
2697,jazz colombiano,1
2698,jazz chileno,1
2699,neo-kraut,1
2700,japanese vocal jazz,1
2701,japanese rockabilly,1
2702,japanese r&b,1
2703,japanese prog,1
2704,neofolk,1
2705,neotango,1
2706,nepali indie,1
2707,nepali pop,1
2708,japanese piano,1
2709,neurofunk,1
2710,japanese jazz fusion,1
2711,japanese indie rock,1
2712,japanese indie folk,1
2713,japanese idm,1
2714,japanese girl punk,1
2715,jump up,1
2716,kabarett,1
2717,kabyle,1
2718,kentucky indie,1
2719,musica andina colombiana,1
2720,musica aragonesa,1
2721,musica ayacuchana,1
2722,musica costarricense,1
2723,kizomba antigas,1
2724,musica de fondo,1
2725,musica gaucha tradicionalista,1
2726,khaleeji iraqi,1
2727,keroncong,1
2728,musica juiz-forana,1
2729,kentucky metal,1
2730,musica paraibana,1
2731,musique touareg,1
2732,musica piemonteisa,1
2733,kent indie,1
2734,musica popular paraense,1
2735,kawaii metal,1
2736,kashmiri pop,1
2737,musica sarda,1
2738,kaneka,1
2739,musique concrete,1
2740,musique peule,1
2741,musique pour enfant quebecois,1
2742,musique pour enfants,1
2743,guzheng,1
2744,gujarati garba,1
2745,solipsynthm,1
2746,san antonio rap,1
2747,russian ccm,1
2748,derby indie,1
2749,depressive black metal,1
2750,russian dance,1
2751,russian edm,1
2752,russian jazz,1
2753,russian metal,1
2754,russian metalcore,1
2755,deep techno,1
2756,russian punk,1
2757,deep tech house,1
2758,deep space rock,1
2759,russian trance,1
2760,rva indie,1
2761,ryukyu ongaku,1
2762,deep soul house,1
2763,deep r&b,1
2764,deep psychobilly,1
2765,deep progressive house,1
2766,salsa cubana,1
2767,deep northern soul,1
2768,deep motown,1
2769,deep melodic metalcore,1
2770,deep latin alternative,1
2771,deep indie singer-songwriter,1
2772,rumba congolaise,1
2773,detske pisnicky,1
2774,devon indie,1
2775,rock chapin,1
2776,eastern bloc groove,1
2777,reggaeton mexicano,1
2778,dutch prog,1
2779,dutch jazz,1
2780,rhode island rap,1
2781,dutch folk,1
2782,dutch death metal,1
2783,ritmo kombina,1
2784,rock alternatif francais,1
2785,rock alternativo brasileiro,1
2786,rock brasiliense,1
2787,dutch blues,1
2788,dong-yo,1
2789,dusseldorf electronic,1
2790,dungeon synth,1
2791,rock gaucho,1
2792,rock kapak,1
2793,duduk,1
2794,rock pernambucano,1
2795,rock progressif francais,1
2796,dubsteppe,1
2797,memphis americana,1
2798,roda de samba,1
2799,romanian electronic,1
2800,deep gothic post-punk,1
2801,deep g funk,1
2802,electronic djent,1
2803,sarod,1
2804,dangdut,1
2805,dallas indie,1
2806,dabke,1
2807,d-beat,1
2808,cypriot pop,1
2809,cymraeg,1
2810,singing bowl,1
2811,cumbia santafesina,1
2812,ska chileno,1
2813,ska jazz,1
2814,skramz,1
2815,slavic folk metal,1
2816,cuarteto,1
2817,croatian folk,1
2818,coverchill,1
2819,cosmic post-rock,1
2820,slovak electronic,1
2821,slovenian electronic,1
2822,slovenian metal,1
2823,corridos cristianos,1
2824,cornwall indie,1
2825,cornish folk,1
2826,contemporary choir,1
2827,connecticut indie,1
2828,concepcion indie,1
2829,danish alternative rock,1
2830,danish electropop,1
2831,danish hip hop,1
2832,dc indie,1
2833,deep free jazz,1
2834,scandinavian r&b,1
2835,deep flow,1
2836,deep dnb,1
2837,deep delta blues,1
2838,scottish hip hop,1
2839,deep classic garage rock,1
2840,scottish jazz,1
2841,deep acoustic pop,1
2842,deathstep,1
2843,scratch,1
2844,dark jazz,1
2845,danish post-punk,1
2846,dark hardcore,1
2847,sefardi,1
2848,serbian electronic,1
2849,danspunk,1
2850,danseband,1
2851,dansband,1
2852,danish singer-songwriter,1
2853,sevillanas,1
2854,shaabi,1
2855,shabad,1
2856,danish punk,1
2857,egyptian traditional,1
2858,electronica argentina,1
2859,guitarra portuguesa,1
2860,frenchcore,1
2861,glee club,1
2862,ghent indie,1
2863,ghanaian traditional,1
2864,german underground rap,1
2865,german show tunes,1
2866,german renaissance,1
2867,german post-hardcore,1
2868,german oi,1
2869,german indie,1
2870,german heavy metal,1
2871,pop rock brasileiro,1
2872,german country,1
2873,georgian folk,1
2874,geek rock,1
2875,gamelan,1
2876,pornogrind,1
2877,gaian doom,1
2878,gabonese pop,1
2879,portland metal,1
2880,funky breaks,1
2881,portuguese early music,1
2882,funk paulista,1
2883,funk das antigas,1
2884,funk 150 bpm,1
2885,funeral doom,1
2886,pop chileno,1
2887,glitch pop,1
2888,goregrind,1
2889,greek jazz,1
2890,pianissimo,1
2891,guinean pop,1
2892,guidance,1
2893,guatemalan pop,1
2894,guaracha,1
2895,pibroch,1
2896,guam indie,1
2897,guadalajara indie,1
2898,pinoy pop punk,1
2899,pinoy r&b,1
2900,greek swing,1
2901,greek house,1
2902,gospel antigas,1
2903,gqom,1
2904,polish blues,1
2905,gothic black metal,1
2906,gothic alternative,1
2907,polish modern jazz,1
2908,polish pop,1
2909,polish post-rock,1
2910,polish reggae,1
2911,polish rock,1
2912,gospel rap,1
2913,gospel italiano,1
2914,funana,1
2915,french techno,1
2916,recorder,1
2917,french post-punk,1
2918,finnish death metal,1
2919,finnish contemporary classical,1
2920,punjabi folk,1
2921,punjabi hip hop,1
2922,punk rock italiano,1
2923,punk rock mexicano,1
2924,purple sound,1
2925,quartetto d'archi,1
2926,fast melodic punk,1
2927,faroese pop,1
2928,experimental jazz,1
2929,experimental indie,1
2930,experimental house,1
2931,experimental folk,1
2932,experimental dub,1
2933,experimental big band,1
2934,euroska,1
2935,ethiopian pop,1
2936,estonian hip hop,1
2937,rap nacional antigo,1
2938,essex indie,1
2939,esperanto,1
2940,erhu,1
2941,epic doom,1
2942,emo mexicano,1
2943,finnish heavy metal,1
2944,finnish soul,1
2945,flick hop,1
2946,progressive power metal,1
2947,french metal,1
2948,french indie folk,1
2949,prepared piano,1
2950,french dnb,1
2951,prog quebec,1
2952,progressive alternative,1
2953,french death metal,1
2954,progressive deathcore,1
2955,french contemporary classical,1
2956,free folk,1
2957,footwork,1
2958,folklore chileno,1
2959,fluxwork,1
2960,folklore boliviano,1
2961,folclore salteno,1
2962,proto-rap,1
2963,folclore navarra,1
2964,folclore jujeno,1
2965,psalmen,1
2966,folclore extremeno,1
2967,psybass,1
2968,folclor colombiano,1
2969,focus beats,1
2970,fo jing,1
2971,rockabilly en espanol,1
